Symbole,Secteur,Allocation_Pct
VFV,Technology,34.57
VFV,Financial Services,13.05
VFV,Communication Services,10.72
VFV,Consumer Cyclical,10.26
VFV,Health Care,9.76
VFV,Industrials,8.03
VFV,Consumer Staples,4.85
VFV,Energy,2.83
VFV,Utilities,2.37
VFV,Real Estate,1.87
VFV,Materials,1.67
ZCN,Financial Services,32.14
ZCN,Materials,19.88
ZCN,Energy,14.99
ZCN,Industrials,10.27
ZCN,Technology,9.25
ZCN,Utilities,3.32
ZCN,Consumer Cyclical,3.26
ZCN,Consumer Staples,3.24
ZCN,Communication Services,1.89
ZCN,Real Estate,1.50
ZCN,Health Care,0.28
ZEM,Technology,29.42
ZEM,Financial Services,21.40
ZEM,Consumer Cyclical,12.06
ZEM,Communication Services,8.89
ZEM,Materials,7.40
ZEM,Industrials,6.87
ZEM,Consumer Staples,3.94
ZEM,Energy,3.79
ZEM,Health Care,3.05
ZEM,Utilities,1.98
ZEM,Real Estate,1.21
ZEA,Financial Services,25.17
ZEA,Industrials,19.65
ZEA,Health Care,11.24
ZEA,Consumer Cyclical,9.61
ZEA,Technology,8.63
ZEA,Consumer Staples,7.31
ZEA,Materials,5.66
ZEA,Communication Services,4.19
ZEA,Utilities,3.64
ZEA,Energy,3.11
ZEA,Real Estate,1.80
XIC,Financial Services,32.14
XIC,Materials,19.88
XIC,Energy,14.99
XIC,Industrials,10.27
XIC,Technology,9.25
XIC,Utilities,3.32
XIC,Consumer Cyclical,3.26
XIC,Consumer Staples,3.24
XIC,Communication Services,1.89
XIC,Real Estate,1.50
XIC,Health Care,0.28
VCN,Financial Services,32.14
VCN,Materials,19.88
VCN,Energy,14.99
VCN,Industrials,10.27
VCN,Technology,9.25
VCN,Utilities,3.32
VCN,Consumer Cyclical,3.26
VCN,Consumer Staples,3.24
VCN,Communication Services,1.89
VCN,Real Estate,1.50
VCN,Health Care,0.28
SPY,Technology,34.57
SPY,Financial Services,13.05
SPY,Communication Services,10.72
SPY,Consumer Cyclical,10.26
SPY,Health Care,9.76
SPY,Industrials,8.03
SPY,Consumer Staples,4.85
SPY,Energy,2.83
SPY,Utilities,2.37
SPY,Real Estate,1.87
SPY,Materials,1.67
VOO,Technology,34.57
VOO,Financial Services,13.05
VOO,Communication Services,10.72
VOO,Consumer Cyclical,10.26
VOO,Health Care,9.76
VOO,Industrials,8.03
VOO,Consumer Staples,4.85
VOO,Energy,2.83
VOO,Utilities,2.37
VOO,Real Estate,1.87
VOO,Materials,1.67
IVV,Technology,34.57
IVV,Financial Services,13.05
IVV,Communication Services,10.72
IVV,Consumer Cyclical,10.26
IVV,Health Care,9.76
IVV,Industrials,8.03
IVV,Consumer Staples,4.85
IVV,Energy,2.83
IVV,Utilities,2.37
IVV,Real Estate,1.87
IVV,Materials,1.67
QQQ,Technology,51.28
QQQ,Communication Services,16.42
QQQ,Consumer Cyclical,14.37
QQQ,Consumer Staples,5.98
QQQ,Industrials,4.52
QQQ,Health Care,3.89
QQQ,Energy,1.21
QQQ,Utilities,1.08
QQQ,Materials,0.89
QQQ,Real Estate,0.36
XQQ,Technology,51.28
XQQ,Communication Services,16.42
XQQ,Consumer Cyclical,14.37
XQQ,Consumer Staples,5.98
XQQ,Industrials,4.52
XQQ,Health Care,3.89
XQQ,Energy,1.21
XQQ,Utilities,1.08
XQQ,Materials,0.89
XQQ,Real Estate,0.36
ZNQ,Technology,51.28
ZNQ,Communication Services,16.42
ZNQ,Consumer Cyclical,14.37
ZNQ,Consumer Staples,5.98
ZNQ,Industrials,4.52
ZNQ,Health Care,3.89
ZNQ,Energy,1.21
ZNQ,Utilities,1.08
ZNQ,Materials,0.89
ZNQ,Real Estate,0.36
VTI,Technology,32.18
VTI,Financial Services,14.21
VTI,Consumer Cyclical,11.34
VTI,Communication Services,9.87
VTI,Health Care,9.54
VTI,Industrials,8.76
VTI,Consumer Staples,5.12
VTI,Energy,3.45
VTI,Real Estate,2.87
VTI,Utilities,2.14
VTI,Materials,0.52
XLK,Technology,100.0
XLF,Financial Services,100.0
XLE,Energy,100.0
XLV,Health Care,100.0
XLY,Consumer Cyclical,100.0
XLP,Consumer Staples,100.0
XLI,Industrials,100.0
XLB,Materials,100.0
XLU,Utilities,100.0
XLRE,Real Estate,100.0
XEQT,Technology,24.2
XEQT,Financial Services,18.5
XEQT,Industrials,11.8
XEQT,Consumer Cyclical,10.5
XEQT,Health Care,9.2
XEQT,Materials,8.7
XEQT,Communication Services,6.4
XEQT,Energy,5.9
XEQT,Consumer Staples,2.8
XEQT,Utilities,1.5
XEQT,Real Estate,0.5
VEQT,Technology,23.8
VEQT,Financial Services,18.2
VEQT,Industrials,11.5
VEQT,Consumer Cyclical,10.2
VEQT,Health Care,9.0
VEQT,Materials,8.5
VEQT,Communication Services,6.2
VEQT,Energy,5.7
VEQT,Consumer Staples,4.5
VEQT,Utilities,1.8
VEQT,Real Estate,0.6
VBAL,Technology,14.3
VBAL,Financial Services,10.9
VBAL,Industrials,6.9
VBAL,Consumer Cyclical,6.1
VBAL,Health Care,5.4
VBAL,Materials,5.1
VBAL,Communication Services,3.7
VBAL,Energy,3.4
VBAL,Consumer Staples,2.7
VBAL,Utilities,1.1
VBAL,Obligations,40.0
VBAL,Real Estate,0.4
ZBAL,Technology,14.5
ZBAL,Financial Services,11.2
ZBAL,Industrials,7.0
ZBAL,Consumer Cyclical,6.3
ZBAL,Health Care,5.6
ZBAL,Materials,5.3
ZBAL,Communication Services,3.8
ZBAL,Energy,3.5
ZBAL,Consumer Staples,2.8
ZBAL,Utilities,1.2
ZBAL,Obligations,38.5
ZBAL,Real Estate,0.3
ZSP,Technology,28.5
ZSP,Financial Services,13.2
ZSP,Health Care,12.8
ZSP,Consumer Cyclical,10.5
ZSP,Communication Services,9.2
ZSP,Industrials,8.7
ZSP,Consumer Staples,6.5
ZSP,Energy,4.2
ZSP,Utilities,2.8
ZSP,Real Estate,2.5
ZSP,Materials,1.1
XUS,Technology,27.8
XUS,Financial Services,13.5
XUS,Health Care,13.2
XUS,Consumer Cyclical,11.2
XUS,Communication Services,8.8
XUS,Industrials,8.5
XUS,Consumer Staples,5.9
XUS,Energy,4.5
XUS,Utilities,2.9
XUS,Real Estate,2.4
XUS,Materials,1.3
XIU,Financial Services,32.5
XIU,Energy,18.2
XIU,Industrials,12.8
XIU,Materials,11.5
XIU,Technology,8.7
XIU,Communication Services,5.4
XIU,Consumer Staples,4.2
XIU,Utilities,3.8
XIU,Consumer Cyclical,1.9
XIU,Real Estate,1.0
VDY,Financial Services,35.2
VDY,Energy,22.5
VDY,Utilities,14.8
VDY,Communication Services,8.5
VDY,Industrials,7.2
VDY,Materials,5.8
VDY,Consumer Staples,4.5
VDY,Real Estate,1.5
XEI,Financial Services,33.8
XEI,Energy,21.2
XEI,Utilities,15.5
XEI,Communication Services,9.2
XEI,Industrials,8.5
XEI,Materials,6.3
XEI,Consumer Staples,4.2
XEI,Real Estate,1.3
ZWB,Financial Services,34.5
ZWB,Energy,19.8
ZWB,Utilities,13.2
ZWB,Communication Services,10.5
ZWB,Industrials,9.2
ZWB,Materials,6.8
ZWB,Consumer Staples,4.5
ZWB,Real Estate,1.5
XMSC,Technology,22.5
XMSC,Financial Services,17.2
XMSC,Industrials,11.5
XMSC,Consumer Cyclical,10.8
XMSC,Health Care,9.5
XMSC,Materials,8.2
XMSC,Communication Services,6.8
XMSC,Energy,5.5
XMSC,Consumer Staples,4.8
XMSC,Utilities,2.2
XMSC,Real Estate,1.0
VSP,Technology,28.5
VSP,Financial Services,13.2
VSP,Health Care,12.8
VSP,Consumer Cyclical,10.5
VSP,Communication Services,9.2
VSP,Industrials,8.7
VSP,Consumer Staples,6.5
VSP,Energy,4.2
VSP,Utilities,2.8
VSP,Real Estate,2.5
VSP,Materials,1.1
ZUE,Financial Services,18.5
ZUE,Industrials,15.2
ZUE,Health Care,13.8
ZUE,Consumer Cyclical,12.5
ZUE,Technology,10.2
ZUE,Consumer Staples,9.5
ZUE,Materials,7.8
ZUE,Energy,5.5
ZUE,Communication Services,3.8
ZUE,Utilities,2.2
ZUE,Real Estate,1.0
QQQL,Technology,51.3
QQQL,Communication Services,16.4
QQQL,Consumer Cyclical,14.4
QQQL,Consumer Staples,6.0
QQQL,Industrials,4.5
QQQL,Health Care,3.9
QQQL,Energy,1.2
QQQL,Utilities,1.1
QQQL,Materials,0.9
QQQL,Real Estate,0.3
QQCL,Technology,51.3
QQCL,Communication Services,16.4
QQCL,Consumer Cyclical,14.4
QQCL,Consumer Staples,6.0
QQCL,Industrials,4.5
QQCL,Health Care,3.9
QQCL,Energy,1.2
QQCL,Utilities,1.1
QQCL,Materials,0.9
QQCL,Real Estate,0.3
QQC.F,Technology,51.3
QQC.F,Communication Services,16.4
QQC.F,Consumer Cyclical,14.4
QQC.F,Consumer Staples,6.0
QQC.F,Industrials,4.5
QQC.F,Health Care,3.9
QQC.F,Energy,1.2
QQC.F,Utilities,1.1
QQC.F,Materials,0.9
QQC.F,Real Estate,0.3
ZQQ,Technology,51.3
ZQQ,Communication Services,16.4
ZQQ,Consumer Cyclical,14.4
ZQQ,Consumer Staples,6.0
ZQQ,Industrials,4.5
ZQQ,Health Care,3.9
ZQQ,Energy,1.2
ZQQ,Utilities,1.1
ZQQ,Materials,0.9
ZQQ,Real Estate,0.3
ZNQ,Technology,51.3
ZNQ,Communication Services,16.4
ZNQ,Consumer Cyclical,14.4
ZNQ,Consumer Staples,6.0
ZNQ,Industrials,4.5
ZNQ,Health Care,3.9
ZNQ,Energy,1.2
ZNQ,Utilities,1.1
ZNQ,Materials,0.9
ZNQ,Real Estate,0.3
QQC,Technology,51.3
QQC,Communication Services,16.4
QQC,Consumer Cyclical,14.4
QQC,Consumer Staples,6.0
QQC,Industrials,4.5
QQC,Health Care,3.9
QQC,Energy,1.2
QQC,Utilities,1.1
QQC,Materials,0.9
QQC,Real Estate,0.3
HXQ,Technology,51.3
HXQ,Communication Services,16.4
HXQ,Consumer Cyclical,14.4
HXQ,Consumer Staples,6.0
HXQ,Industrials,4.5
HXQ,Health Care,3.9
HXQ,Energy,1.2
HXQ,Utilities,1.1
HXQ,Materials,0.9
HXQ,Real Estate,0.3
