Symbole,Pays,Allocation_Pct
VFV,USA,100.0
ZCN,Canada,100.0
ZEM,China,27.26
ZEM,Taiwan,20.79
ZEM,India,14.35
ZEM,South Korea,14.31
ZEM,Brazil,4.30
ZEM,South Africa,3.77
ZEM,Saudi Arabia,2.80
ZEM,Mexico,1.95
ZEM,Indonesia,1.31
ZEM,United Arab Emirates,1.07
ZEM,Poland,0.99
ZEM,Other,7.11
ZEA,Japan,22.63
ZEA,United Kingdom,14.53
ZEA,Switzerland,9.83
ZEA,Germany,9.56
ZEA,France,9.54
ZEA,Netherlands,6.24
ZEA,Australia,6.18
ZEA,Spain,3.73
ZEA,Sweden,3.25
ZEA,Italy,3.11
ZEA,Denmark,2.01
ZEA,Other,9.40
SPY,USA,100.0
VOO,USA,100.0
IVV,USA,100.0
QQQ,USA,100.0
XQQ,USA,100.0
ZNQ,USA,100.0
XIC,Canada,100.0
VCN,Canada,100.0
XLK,USA,100.0
XLF,USA,100.0
XLE,USA,100.0
XLV,USA,100.0
XLY,USA,100.0
XLP,USA,100.0
XLI,USA,100.0
XLB,USA,100.0
XLRE,USA,100.0
XLU,USA,100.0
XLC,USA,100.0
VGT,USA,100.0
VTI,USA,100.0
VXUS,Japan,15.7
VXUS,United Kingdom,9.7
VXUS,China,7.8
VXUS,France,6.4
VXUS,Canada,6.3
VXUS,Switzerland,5.7
VXUS,Germany,4.9
VXUS,Australia,4.1
VXUS,Taiwan,3.5
VXUS,India,3.4
VXUS,Netherlands,2.8
VXUS,South Korea,2.7
VXUS,Other,26.7
XEQT,USA,49.5
XEQT,Canada,25.1
XEQT,Japan,5.2
XEQT,United Kingdom,3.7
XEQT,France,2.4
XEQT,Switzerland,2.3
XEQT,Germany,2.2
XEQT,Australia,1.6
XEQT,Other,8.0
VEQT,USA,44.0
VEQT,Canada,30.0
VEQT,Japan,5.5
VEQT,United Kingdom,4.0
VEQT,China,2.8
VEQT,France,2.5
VEQT,Switzerland,2.4
VEQT,Germany,2.2
VEQT,Australia,1.5
VEQT,Other,5.1
VBAL,USA,26.4
VBAL,Canada,18.0
VBAL,Japan,3.3
VBAL,United Kingdom,2.4
VBAL,France,1.5
VBAL,Switzerland,1.4
VBAL,Germany,1.3
VBAL,Australia,0.9
VBAL,Obligations,42.0
VBAL,Other,2.8
ZBAL,USA,27.0
ZBAL,Canada,17.5
ZBAL,Japan,3.4
ZBAL,United Kingdom,2.5
ZBAL,France,1.6
ZBAL,Switzerland,1.5
ZBAL,Germany,1.4
ZBAL,Australia,1.0
ZBAL,Obligations,41.5
ZBAL,Other,2.6
ZSP,United States,100.0
XUS,United States,100.0
XIU,Canada,100.0
VDY,Canada,100.0
XEI,Canada,100.0
ZWB,Canada,100.0
XMSC,United States,61.2
XMSC,Japan,5.8
XMSC,United Kingdom,3.9
XMSC,China,3.2
XMSC,France,2.8
XMSC,Canada,2.7
XMSC,Switzerland,2.6
XMSC,Germany,2.4
XMSC,Australia,2.1
XMSC,Taiwan,1.8
XMSC,India,1.7
XMSC,South Korea,1.5
XMSC,Netherlands,1.3
XMSC,Other,7.0
VSP,United States,100.0
ZUE,United Kingdom,18.5
ZUE,France,16.2
ZUE,Germany,15.8
ZUE,Switzerland,14.5
ZUE,Netherlands,7.2
ZUE,Sweden,5.8
ZUE,Spain,4.5
ZUE,Italy,4.2
ZUE,Denmark,3.8
ZUE,Belgium,2.5
ZUE,Other,7.0
QQQL,United States,100.0
QQCL,United States,100.0
QQC.F,United States,100.0
ZQQ,United States,100.0
ZNQ,United States,100.0
QQC,United States,100.0
HXQ,United States,100.0
